session_id,vehicle_id,station_id,start_time,end_time,energy_consumed_kWh,cost
1,756,410,2023-10-27 18:05:00,2023-10-27 19:16:00,49.51,371.32
2,74,414,2023-01-08 18:44:00,2023-01-08 19:52:00,44.14,331.05
3,959,252,2023-12-14 22:09:00,2023-12-14 23:06:00,43.38,325.35
4,933,70,2023-07-15 00:59:00,2023-07-15 02:16:00,35.69,267.67
5,47,214,2023-11-16 19:50:00,2023-11-16 20:40:00,15.75,118.12
6,524,101,2023-09-04 07:28:00,2023-09-04 08:46:00,10.83,81.22
7,142,390,2023-05-23 20:02:00,2023-05-23 20:45:00,37.76,283.2
8,430,125,2023-09-01 12:24:00,2023-09-01 13:26:00,18.93,141.97
9,84,353,2023-07-17 04:51:00,2023-07-17 06:07:00,30.23,226.72
10,646,293,2023-08-28 11:22:00,2023-08-28 12:24:00,25.12,188.4
11,982,69,2023-02-11 11:45:00,2023-02-11 12:30:00,26.77,200.78
12,410,34,2023-07-17 00:23:00,2023-07-17 01:32:00,36.51,273.82
13,832,312,2023-08-28 21:57:00,2023-08-28 22:30:00,40.53,303.98
14,782,410,2023-08-30 07:25:00,2023-08-30 08:09:00,28.23,211.72
15,187,342,2023-03-12 23:43:00,2023-03-13 01:03:00,31.36,235.2
16,450,345,2023-11-18 11:01:00,2023-11-18 11:35:00,13.69,102.67
17,264,117,2023-02-07 01:36:00,2023-02-07 02:34:00,20.57,154.28
18,166,274,2023-10-29 05:46:00,2023-10-29 06:52:00,41.82,313.65
19,841,214,2023-04-05 05:26:00,2023-04-05 06:44:00,17.41,130.57
20,372,464,2023-09-03 01:32:00,2023-09-03 02:10:00,46.62,349.65
21,695,386,2023-07-19 05:03:00,2023-07-19 06:25:00,19.79,148.42
22,904,214,2023-04-02 15:51:00,2023-04-02 17:12:00,36.35,272.62
23,705,461,2023-06-14 16:06:00,2023-06-14 17:24:00,10.24,76.8
24,624,136,2023-08-04 05:06:00,2023-08-04 06:23:00,28.81,216.07
25,3,214,2023-11-15 18:07:00,2023-11-15 19:22:00,12.12,90.9
26,10,449,2023-06-06 03:45:00,2023-06-06 04:33:00,33.77,253.28
27,151,453,2023-04-14 19:21:00,2023-04-14 20:27:00,44.22,331.65
28,463,475,2023-05-27 05:31:00,2023-05-27 06:14:00,23.7,177.75
29,363,284,2023-04-10 19:32:00,2023-04-10 20:35:00,43.79,328.43
30,586,139,2023-07-12 14:04:00,2023-07-12 15:05:00,20.65,154.88
31,998,149,2023-08-10 17:18:00,2023-08-10 18:17:00,37.41,280.57
32,700,318,2023-11-05 06:23:00,2023-11-05 07:21:00,35.2,264.0
33,35,278,2023-11-09 09:53:00,2023-11-09 10:41:00,45.0,337.5
34,436,93,2023-03-01 12:24:00,2023-03-01 13:09:00,41.03,307.73
35,988,117,2023-04-18 19:15:00,2023-04-18 20:27:00,43.73,327.97
36,73,211,2023-08-31 18:56:00,2023-08-31 20:21:00,25.94,194.55
37,661,42,2023-05-17 08:04:00,2023-05-17 09:14:00,49.78,373.35
38,622,320,2023-05-05 19:47:00,2023-05-05 21:03:00,28.21,211.58
39,763,76,2023-12-15 04:17:00,2023-12-15 05:46:00,22.86,171.45
40,654,197,2023-04-01 13:50:00,2023-04-01 15:18:00,28.26,211.95
41,788,165,2023-08-27 03:31:00,2023-08-27 04:23:00,12.39,92.93
42,277,429,2023-12-02 19:17:00,2023-12-02 20:46:00,22.57,169.28
43,953,30,2023-04-11 15:50:00,2023-04-11 16:33:00,23.34,175.05
44,518,28,2023-07-11 02:03:00,2023-07-11 03:22:00,49.17,368.78
45,554,135,2023-11-16 19:38:00,2023-11-16 20:08:00,36.3,272.25
46,962,97,2023-04-09 08:06:00,2023-04-09 09:10:00,43.48,326.1
47,594,11,2023-01-26 02:18:00,2023-01-26 03:14:00,40.56,304.2
48,795,67,2023-05-26 20:21:00,2023-05-26 21:14:00,20.41,153.07
49,462,309,2023-03-28 14:05:00,2023-03-28 15:26:00,46.37,347.77
50,569,119,2023-07-03 11:53:00,2023-07-03 13:06:00,38.87,291.52
51,162,309,2023-05-17 03:40:00,2023-05-17 04:53:00,12.4,93.0
52,339,150,2023-06-04 19:46:00,2023-06-04 20:28:00,23.99,179.92
53,745,17,2023-12-06 05:42:00,2023-12-06 06:59:00,45.45,340.88
54,938,134,2023-05-18 06:08:00,2023-05-18 06:59:00,22.1,165.75
55,164,185,2023-04-13 21:59:00,2023-04-13 22:47:00,41.88,314.1
56,732,391,2023-03-29 13:52:00,2023-03-29 15:22:00,22.8,171.0
57,58,130,2023-06-23 20:53:00,2023-06-23 21:38:00,45.07,338.02
58,241,60,2023-07-17 18:00:00,2023-07-17 19:13:00,20.71,155.33
59,826,307,2023-11-01 01:51:00,2023-11-01 02:26:00,39.31,294.83
60,776,386,2023-12-23 05:55:00,2023-12-23 06:36:00,12.11,90.82
61,358,293,2023-06-02 18:03:00,2023-06-02 18:54:00,12.7,95.25
62,535,450,2023-09-29 10:25:00,2023-09-29 10:58:00,42.22,316.65
63,899,15,2023-06-08 14:09:00,2023-06-08 14:51:00,29.28,219.6
64,107,479,2023-05-26 22:00:00,2023-05-26 23:22:00,32.13,240.98
65,921,191,2023-01-03 14:31:00,2023-01-03 15:23:00,29.71,222.83
66,351,289,2023-07-02 03:18:00,2023-07-02 04:04:00,18.48,138.6
67,692,427,2023-09-14 03:39:00,2023-09-14 04:44:00,47.51,356.32
68,323,165,2023-01-19 09:08:00,2023-01-19 10:30:00,29.38,220.35
69,60,245,2023-12-17 13:18:00,2023-12-17 14:44:00,20.84,156.3
70,560,431,2023-07-05 01:51:00,2023-07-05 02:31:00,30.79,230.92
71,957,253,2023-11-12 08:21:00,2023-11-12 09:04:00,38.72,290.4
72,600,317,2023-08-12 15:28:00,2023-08-12 16:52:00,37.43,280.73
73,572,123,2023-02-14 22:27:00,2023-02-14 23:00:00,37.74,283.05
74,391,483,2023-12-07 18:49:00,2023-12-07 19:20:00,48.84,366.3
75,31,44,2023-01-10 15:40:00,2023-01-10 16:57:00,14.66,109.95
76,697,270,2023-09-26 11:47:00,2023-09-26 13:12:00,36.7,275.25
77,684,451,2023-10-12 22:05:00,2023-10-12 22:43:00,31.27,234.53
78,793,358,2023-12-03 06:19:00,2023-12-03 07:37:00,43.28,324.6
79,683,250,2023-01-20 08:39:00,2023-01-20 09:20:00,25.58,191.85
80,424,376,2023-11-04 13:01:00,2023-11-04 14:28:00,42.98,322.35
81,495,135,2023-05-04 01:35:00,2023-05-04 02:37:00,46.74,350.55
82,626,445,2023-07-26 18:23:00,2023-07-26 19:08:00,19.66,147.45
83,358,356,2023-11-25 03:22:00,2023-11-25 04:18:00,44.03,330.23
84,80,432,2023-01-19 21:52:00,2023-01-19 22:50:00,21.36,160.2
85,751,448,2023-09-11 07:23:00,2023-09-11 08:21:00,42.7,320.25
86,645,364,2023-05-25 06:58:00,2023-05-25 08:12:00,15.59,116.92
87,994,411,2023-10-23 06:40:00,2023-10-23 07:29:00,35.73,267.97
88,31,155,2023-05-08 00:35:00,2023-05-08 01:56:00,23.08,173.1
89,543,294,2023-06-09 23:57:00,2023-06-10 01:17:00,23.53,176.48
90,275,43,2023-04-26 05:52:00,2023-04-26 06:53:00,16.75,125.62
91,355,44,2023-10-09 11:12:00,2023-10-09 12:34:00,45.97,344.77
92,201,179,2023-09-02 12:42:00,2023-09-02 13:32:00,33.52,251.4
93,150,106,2023-07-03 03:12:00,2023-07-03 04:25:00,23.66,177.45
94,336,203,2023-09-09 05:22:00,2023-09-09 06:06:00,12.45,93.38
95,76,381,2023-06-04 09:26:00,2023-06-04 10:25:00,19.18,143.85
96,911,259,2023-04-15 00:56:00,2023-04-15 01:49:00,25.04,187.8
97,534,31,2023-02-09 09:59:00,2023-02-09 10:45:00,13.52,101.4
98,17,237,2023-03-18 18:14:00,2023-03-18 19:13:00,19.91,149.32
99,240,425,2023-09-11 15:24:00,2023-09-11 16:27:00,37.17,278.78
100,335,294,2023-06-24 16:08:00,2023-06-24 17:36:00,21.22,159.15
101,383,238,2023-03-14 00:36:00,2023-03-14 01:58:00,25.59,191.93
